,full_text
1,Congress made Vemula national talking point even though there were doubts over the case &amp; Vemula being dalit itself. What stops BJP to make Ramalingam case attain national scale &amp; changing the dalit discourse? It just takes one remark by PM @narendramodi to make it happen
6,"#RahulLieCaught | EXCLUSIVE: Former Defence Secretary G Mohan Kumar tears into Rahul Gandhi's lies, says 'no PMO interference in Rafale pricing'

https://t.co/9llrK1gfXX"
8,"These stories really exposes our development propaganda as a nation. Congress cudnt do it in 60yrs..

And @narendramodi sirji, you had asked for 60months... Are you able to hear such terrifying stories from Jharkhand? 

Our govts cudnt even solve basic issues in last 78yrs!! https://t.co/U36LRXACPg"
9,"If there is no issue or problem, why is Parrikar saying that Defence Secretary should resolve the problem/matter with Principal Secretary to PM? It actually nails Modi more than anything else. (3/4)"
17,Prime Minister Shri @narendramodi today exposed the Congress partyâ€™s false and fake campaign on several issues by delivering an outstanding speech on the floor of Lok Sabha. I congratulate the Prime Minister for completely demolishing the oppositionâ€™s claims.
18,"#RafaleScam @SaugataRoyMP in #LokSabha today: \Modi-Shah duo is destroying defence, the backbone of the countryâ€"""
20,"#ForTheFirstTime:

Every opposition has come together to defeat a single Force called #NaMo.

Every crook aka #MahaBhrashtBandhan
#Mahathugbandhan is clueless.

#NewIndia is shining like never before.

Enemies are falling like a house of cards.

#ModiUnstoppable #ModiForPM2019 https://t.co/oIMnH4g4pa"
25,"I was shocked when the UN said ISIS was the biggest terrorist threat in the world, all this time I thought it was the RSS. Has the Indian media been lying to us ðŸ˜¿"
26,That @nramind &amp; @the_hindu did a hitjob on #Rafale using #FakeNews to create fake scam without facts to discredit PM @narendramodi destabilize nation &amp; stop Defense procurement. Its time to boycott #MediaPimpistaan of Lutyens. #BoycottTheHindu #BanTheHindu https://t.co/Q4bxm6aQZL
32,"#RafaleDeal

Have you read Paragraph 4? Parrikar admits PMO is interfering, but refrains from blaming Modi for derailing negotiations. https://t.co/niqzMif8lx"
33,"On a complaint by @ShashiTharoor, a #Delhi court has ordered an #FIR against Republic TV &amp; its Editor-in-Chief Arnab Goswami. The #Congress MP alleged illegal access to documents relating to #SunandaPushkar death case. Tharoor is facing abetment to suicide charge in this matter. https://t.co/PG0vZCdzC2"
34,"#Kerala 
RSS inspired Sewa Bharathi is building hundreds of houses all over Kerala for poor Hindus under the 'Thalachaikkanoridam( A place to rest one's head)' 
Like these houses at Kannur, Pathanamthitta, Palakkad which are in various stages of construction. https://t.co/cREYhRF6Fu"
36,"@RahulGandhi #DEAR @RAHUL GANDHI!! 
TO HELL WITH YOU &amp; YOUR CONGRESS!!ðŸ‘¹ðŸ‘¹

WOULD YOU LIKE TO TELL US, WHY CORRUPT CONGRESS DID NOT GIVE ARMED FORCES \ ONE RANK ONE PENSION \"" FOR 40 YEAR , WHEN YOU WERE IN POWER??ðŸ‘¹ðŸ‘¹"""
37,So Hindu clearly cropped up most important noting that Para 5 appears to be an overreaction. Rahul Gandhi based his entire propaganda on sovereign guarantee note and that too the cropped one. https://t.co/5LNAC7iDhf
40,"SC to GovtðŸ‘‰Submit details of #RafaleDeal decision making process

Govt Affidavits in SC
ðŸ‘‰No interference by the Govt in #Rafale deal
ðŸ‘‰INT mandated by DAC negotiated d deal

ðŸ‘‰#DefenceMinistry letter proves #PMO was running parallel negotiation

ResultðŸ‘‰ #SovereignGuarantee âŒ https://t.co/VA6WS6aZhW"
41,"Are Rahul's attacks on govt over Rafale based on 'half-truths' &amp; 'selective' media reports? If not, why donâ€™t Rahulâ€™s serial attacks on Modi over Rafale withstand the test of scrutiny? 

@RShivshankar on #RafaleCongSelfGoal https://t.co/cPqlDpOUv9"
42,"PM Modi is a thief, he has stolen countryâ€™s Rs 30,000 crore: @RahulGandhi

#PakdaGayaModi https://t.co/u3rJi0J9k7"
43,@ANI One thing is very clear. @INCIndia is trying very hard to cancel #RafaleDeal and make our forces weak again. A befitting reply should be get @INCIndia below 44 seats in this LS election and teach them a lesson.
49,The NIMH are explicitly forbidden by Congress from conducting research into whether gun control decreases number of suicides #MQScienceMeeting ðŸ˜®
52,Egg on the face of Congress keeps one after another. Every attempt to tarnish the Modi govt ends up in a dead end as there is nothing to find fault with. They seemed to be thinking that Modi govt will be like theirs but fortunately we have good governance. Thank you @nsitharaman https://t.co/PacflFCo8Y
54,"Congress and all other opposition parties are sooo rattled that they know if Modi comes to power again, all of them will land in jail in next five years. Hence they r trying to create a false scam like #Rafale which never exists. 

#RafaleCongSelfGoal 
 #JayPandaBlackMoney"
58,"@Blainejo @NatashaBertrand Subpeona him, make him invoke Executive Privilege, and cite him for being in contempt of Congress.

He's only an \acting\"" AG for a few more days, right?"""
