,0,1,2,3,4
0,dalit discourse,,,,
1,,,,,
2,,,,,
3,defence secretary,,,,
4,fake campaign,,,,
5,modi shah,rafalescam saugataroymp,shah,,
6,mahathugbandhan,mahathugbandhan is,mahabhrashtbandhan mahathugbandhan,,
7,,,,,
8,,,,,
9,parrikar admits,admits pmo,,,
10,case tharoor,,,,
11,kerala rss,kerala,sewa bharathi,over kerala,kerala for
12,rahulgandhi dear,dear rahul,rahul gandhi,,
13,gandhi based,hindu clearly,gandhi,,
14,rafaledeal decision,of rafaledeal,,,
15,rahul attacks,are rahul,,,
16,crore rahulgandhi,rahulgandhi pakdagayamodi,pm modi,modi is,stolen countryâ
17,cancel rafaledeal,rafaledeal and,,,
18,,,,,
19,modi govt,,,,
20,exists rafalecongselfgoal,rafalecongselfgoal,,,
21,,,,,
22,,,,,
23,constitutional institutions,,,,
24,racist sweat,,,,
25,merabharat,merabharat most,,,
26,are whitaker,whitaker,,,
27,the chowkidar,,,,
28,bail cancellation,manage judges,judges,,
29,modi is,modi,is coward,coward,
30,angeltax extortionists,,,,
31,300ml water,700 water,drunk 300ml,1ltr bottle,water remained
32,modi attacking,,,,
33,,,,,
34,bjp goons,bjp,attacks arvindkejriwal,,
35,anti hindu,the_hindu has,the_hindu,hindu since,hindu
36,mamata didi,,,,
37,,,,,
38,the fisa,fisa,fisa mr,,
39,modi bhakts,,,,
40,kargil bjp,vijay diwas,bjp war,vijay,celebrate vijay
41,benghazi motherfuckers,whitakerhearing,whitakerhearing have,,
42,congress rafale,rafale attack,bring modi,,
43,,,,,
44,rafale scam,rafale,on rafale,scam today,
45,bank mergers,sbi merger,merger nda,nda govt,dena banks
46,climate chaos,,,,
47,promises workersagainstmodi,corporates modi,workersagainstmodi,modi,
48,mamata corrupt,saradha scam,mamata stopping,why mamata,
49,whitaker ought,whitaker,,,
50,,,,,
51,modi bluff,called modi,modi had,corrupt rafale,
52,arnab bjp,chiwkidar aakhir,bjp ka,,
53,,,,,
54,rafaledeal darpokmodi,rafale is,darpokmodi nahi,rafale,nahi darpokrahul
